acno,accession,cultivar_name,sd_moved,sd_new,e_locality,cmt,sd_unique,site,ivt,whynull,origin_country,origin_province,origin_city,collector,breeder,loc1,loc2,loc3,loc4,location_field,location_greenhouse,distribute,status,alive,statcmt,plant_type,taxno,sitecmt,acp,e_pedigree,e_genus,e_species,e_subspecies,e_habita,e_cmt,e_quant,e_units,e_cform,e_plants_collected,e_released,e_datefmt,e_lath,e_latd,e_latm,e_lonh,e_lond,e_lonm,e_lons,e_lats,e_elev,family,e_breeder_or_collector,m_transfer_history,e_origin_institute,e_origin_address1,e_origin_address2,e_origin_postal_code,e_date_collected,acimpt,uniform
102691,MAL0633,Autumn Arctic,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102709,MAL0635,Blair,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,McIntosh x Snow,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103052,MAL0636,McIntosh Caldwell,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,F Affleck T5,,,Main C & Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102750,MAL0637,Conley Red,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102772,MAL0638,Dawnmac,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,McIntosh x Red Delicious ?,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103055,MAL0639,McIntosh Gatzke,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,bud mutation of Summerland McIntosh,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103059,MAL0640,McIntosh Kempf,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103071,MAL0642,McLaren Red,FALSE,FALSE,,,FALSE,INACTIVE,PL,,CAN,,,,,,,,,,,FALSE,NO-ACC,FALSE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103147,MAL0644,Ottawa-521,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,F Affleck T5,,,Main C & Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,Melba(Platts) x R6 T68  (complex parentage),Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103155,MAL0645,Ottawa-564,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,McIntosh x 10-147 Dg20T9 (complex parentage),Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103157,MAL0646,Ottawa-634,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,O-521 (complex parentage) x McIntosh,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103158,MAL0647,Ottawa-637,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,F Affleck T5,,,Main C & Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,McIntosh x O-525 (complex parentage),Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103159,MAL0648,Ottawa-641,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,O-527 (complex parentage) x Lobo,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103160,MAL0649,Ottawa-6412,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,McIntosh X O-522 (complex parentage),Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103161,MAL0650,Ottawa-6413,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,O-527 (complex parentage) x Lobo,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103162,MAL0651,Ottawa-6422,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,O-545 (complex parentage) x Lobo,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103166,MAL0654,Ottawa-661,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,O-521 (complex parentage) x Delicious,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103167,MAL0655,Ottawa-6616,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,O-521 (complex parentage) x T3919 (Delicious x McIntosh),Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103168,MAL0656,Ottawa-6617,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,O-521 (complex parentage) x T3919 (Delicious x McIntosh),Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103169,MAL0657,Ottawa-662,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,O-521 (complex parentage) x Delicious,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103170,MAL0658,Ottawa-664,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,O-521 (complex parentage) x Delicious,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103171,MAL0659,Ottawa-665,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,O-522 (complex parentage) x Delicious,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
103264,MAL0663,Sinta,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,Golden Delicious x Grimes Golden,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102776,MAL0665,Delicious Vinebright,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
102911,MAL0666,KSC 1,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,Beautiful Arcade seedling,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,ROOTSTALK,
102923,MAL0667,KSC 2,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F C Wedge,,,,C Wedge,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,Beautiful Arcade seedling,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,ROOTSTALK,
102934,MAL0668,KSC 3,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,F C Wedge,,,Main C & C Wedge,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,Beautiful Arcade seedling,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,ROOTSTALK,
102936,MAL0669,KSC 4,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,,,,Main C,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,Beautiful Arcade seedling,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,ROOTSTALK,
102937,MAL0670,KSC 5,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,,,,,F Main C,F C Wedge,,,Main C & C Wedge,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,Beautiful Arcade seedling,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,ROOTSTALK,
